院校名称	国家	城市	类别	详细
哈佛大学(剑桥)	美国	Cambridge,Boston	私立	简介 评论收藏 加入对比
韦伯斯特大学(圣路易斯)	美国	St. Louis	私立	简介 评论收藏 加入对比
多伦多大学	加拿大	Toronto	公立	简介 评论收藏 加入对比
悉尼大学	澳大利亚	Sydney	公立	简介 评论收藏 加入对比
南洋理工大学	新加坡	Singapore	公立	简介 评论收藏 加入对比
清州国立教育大学	韩国	청주시	国立	简介 评论收藏 加入对比
墨尔本大学	澳大利亚	Parkville	公立	简介 评论收藏 加入对比
麻省理工学院(剑桥)	美国	Cambridge	私立	简介 评论收藏 加入对比
新加坡国立大学	新加坡	Kent Ridge	公立	简介 评论收藏 加入对比
首尔教育大学	韩国	서울시	国立	简介 评论收藏 加入对比
诺丁汉大学	英国	Nottingham	公立	简介 评论收藏 加入对比
南加州大学(洛杉矶)	美国	Los Angeles	私立	简介 评论收藏 加入对比
昆士兰大学	澳大利亚	St Lucia , Ipswich , Gatton	公立	简介 评论收藏 加入对比
麦克马斯特大学	加拿大	Hamilton	公立	简介 评论收藏 加入对比
加州大学伯克利分校(伯克利)	美国	Berkeley	公立	简介 评论收藏 加入对比
滑铁卢大学	加拿大	Waterloo	公立	简介 评论收藏 加入对比
京都大学	日本	京都市	国立	简介 评论收藏 加入对比
维多利亚大学	加拿大	Victoria	公立	简介 评论收藏 加入对比
宾夕法尼亚州立大学(大学园)	美国	University Park	公立	简介 评论收藏 加入对比
英属哥伦比亚大学	加拿大	Vancouver	公立	简介 评论收藏 加入对比
伊利诺斯大学芝加哥分校(芝加哥)	美国	Chicago	公立	简介 评论收藏 加入对比
哥伦比亚大学(纽约)	美国	New York	私立	简介 评论收藏 加入对比
爱丁堡大学	英国	Edinburgh	公立	简介 评论收藏 加入对比
东京大学	日本	文京区	国立	简介 评论收藏 加入对比
剑桥大学	英国	Cambridge	公立	简介 评论收藏 加入对比
澳大利亚国立大学	澳大利亚	Acton	公立	简介 评论收藏 加入对比
新南威尔士大学	澳大利亚	Kensington	公立	简介 评论收藏 加入对比
加州州立大学洛杉矶分校(洛杉矶)	美国	Los Angeles	公立	简介 评论收藏 加入对比
柏林自由大学	德国	Berlin	公立	简介 评论收藏 加入对比
阿尔伯塔大学	加拿大	Edmonton	公立	简介 评论收藏 加入对比
莫斯科国立大学	俄罗斯	Москвa	国立	简介 评论收藏 加入对比
慕尼黑大学	德国	München	公立	简介 评论收藏 加入对比
谢菲尔德学院	英国	Sheffield	不详	简介 评论收藏 加入对比
宾夕法尼亚大学 (费城)	美国	Philadelphia	私立	简介 评论收藏 加入对比
牛津大学	英国	Oxford	公立	简介 评论收藏 加入对比
密歇根大学(安阿伯)	美国	Ann Arbor	公立	简介 评论收藏 加入对比
麦考瑞大学	澳大利亚	Sydney	公立	简介 评论收藏 加入对比
林登学院	马来西亚	Mantin	私立	简介 评论收藏 加入对比
麦吉尔大学	加拿大	Montreal	公立	简介 评论收藏 加入对比
纽约大学(纽约)	美国	New York	私立	简介 评论收藏 加入对比
斯坦福大学(斯坦福)	美国	Stanford	私立	简介 评论收藏 加入对比
奥克兰大学	新西兰	Auckland	公立	简介 评论收藏 加入对比
华威大学	英国	Coventry	公立	简介 评论收藏 加入对比
波士顿大学(波士顿)	美国	Boston	私立	简介 评论收藏 加入对比
约克大学	加拿大	Toronto	公立	简介 评论收藏 加入对比
伦敦大学	英国	London	公立	简介 评论收藏 加入对比
俄亥俄州立大学(哥伦布)	美国	Columbus	公立	简介 评论收藏 加入对比
温哥华社区学院	加拿大	Vancouver	公立	简介 评论收藏 加入对比
亚琛工业大学	德国	Aachen	公立	简介 评论收藏 加入对比
西安大略大学	加拿大	London	公立	简介 评论收藏 加入对比
利物浦大学	英国	Liverpool	公立	简介 评论收藏 加入对比
马德里自治大学	西班牙	Madrid	公立	简介 评论收藏 加入对比
杜伦大学	英国	Durham	公立	简介 评论收藏 加入对比
纽卡斯尔大学	英国	Newcastle upon Tyne	公立	简介 评论收藏 加入对比
卡巴尔达-巴尔卡尔国立大学	俄罗斯	Нальчик	国立	简介 评论收藏 加入对比
西蒙弗雷泽大学	加拿大	Burnaby	公立	简介 评论收藏 加入对比
杜克大学(德汉姆)	美国	Durham	私立	简介 评论收藏 加入对比
约克大学	英国	Heslington	公立	简介 评论收藏 加入对比
德累斯顿工业大学	德国	Dresden	公立	简介 评论收藏 加入对比
康奈尔大学(伊萨卡)	美国	Ithaca	私立	简介 评论收藏 加入对比
阿德莱德大学	澳大利亚	Adelaide	公立	简介 评论收藏 加入对比
早稻田大学	日本	新宿区	私立	简介 评论收藏 加入对比
阿姆斯特丹大学	荷兰	Amsterdam	公立	简介 评论收藏 加入对比
伦敦政治经济学院	英国	Houghton	公立	简介 评论收藏 加入对比
利兹大学	英国	Leeds	公立	简介 评论收藏 加入对比
莫纳什大学	澳大利亚	Clayton	公立	简介 评论收藏 加入对比
巴斯大学	英国	Bath	公立	简介 评论收藏 加入对比
首尔大学	韩国	서울시	国立	简介 评论收藏 加入对比
兰斯大学	法国	Reims  1300	公立	简介 评论收藏 加入对比
巴黎十一大	法国	Orsay	公立	简介 评论收藏 加入对比
布里斯托尔大学	英国	Bristol	公立	简介 评论收藏 加入对比
乌普萨拉大学	瑞典	Uppsala	公立	简介 评论收藏 加入对比
耶鲁大学(纽黑文)	美国	New Haven	私立	简介 评论收藏 加入对比
雪城大学(雪城)	美国	Syracuse	私立	简介 评论收藏 加入对比
慕尼黑工业大学	德国	München	公立	简介 评论收藏 加入对比
南安普顿大学	英国	Southampton	公立	简介 评论收藏 加入对比
蒙特克莱尔州立大学(上蒙特克莱尔)	美国	Montclair	公立	简介 评论收藏 加入对比
伯明翰大学	英国	Birmingham	公立	简介 评论收藏 加入对比
悉尼科技大学	澳大利亚	Sydney	公立	简介 评论收藏 加入对比
格拉斯哥大学	英国	Glasgow	公立	简介 评论收藏 加入对比
新加坡管理大学	新加坡	Singapore	私立	简介 评论收藏 加入对比
瑞尔森大学	加拿大	Toronto	公立	简介 评论收藏 加入对比
苏黎世联邦理工大学	瑞士	Zürich	公立	简介 评论收藏 加入对比
